gene,statistic_ir,pvalue_ir,statistic_gc,pvalue_gc,statistic_ic,pvalue_ic,n_spots_expressed,n_isoforms,sample_id,sample_type,padj_ir,padj_gc,padj_ic,padj_global
CD74,0.0001770185574167,1.7552101385070928e-08,0.0337251537008426,1.1876584514838594e-58,0.8667272106957952,5.779002557561737e-53,1616,9,GBM_3,GBM,8.776050692535465e-08,4.7506338059354375e-58,2.3116010230246948e-52,1.2151454805049104e-07
TIMP1,0.0001109147540769,2.7228656189329732e-08,0.022575345470014,3.44064393403047e-52,0.7497527902432369,1.7977918378957418e-48,1692,6,GBM_3,GBM,1.0891462475731893e-07,1.14688131134349e-51,5.992639459652473e-48,1.815243745955315e-07
MIF,4.4946071505677233e-05,3.9376933545913956e-08,0.0109566896908542,2.7132546536742836e-107,0.5851994993707748,6.867093084812099e-80,1952,3,DMG_3,DMG,2.29766541203586e-07,1.2480971406901702e-106,5.2647713650226105e-79,2.480238525735861e-07
B2M,3.4687497870054376e-05,3.9959398470188864e-08,0.0149110597201435,6.334145166798338e-54,0.2877162976274367,2.649177296964154e-40,1974,4,DMG_3,DMG,2.29766541203586e-07,1.3244121712396528e-53,6.770119758908394e-40,2.480238525735861e-07
LGALS1,6.967280843827416e-05,7.115931506170046e-08,0.0048916240986494,4.8412081595493847e-32,0.5594057489748827,3.433183228973304e-29,1724,5,GBM_3,GBM,2.371977168723349e-07,9.68241631909877e-32,9.809094939923723e-29,4.269558903702028e-07
CST3,3.043304859743812e-05,9.54116725468297e-08,0.0056051355293487,4.0382781968651124e-86,0.040887776632801,1.3411202499822499e-50,2927,2,DMG_1,DMG,2.044535840289208e-07,5.0478477460813896e-86,2.011680374973375e-50,5.540032599493336e-07
CLU,0.0001111458460862,1.5185802056562253e-07,0.2320904709294724,1.969273996938929e-208,1.7784035416730932,1.8443851113471411e-239,1983,8,GBM_5,GBM,2.5815863496155832e-06,3.3477657947961786e-207,3.1354546892901396e-238,8.542013656816268e-07
SPARCL1,0.0002028702061773,2.919617142275856e-07,0.0040199703686581,7.089059581576181e-15,0.3501411484545655,7.508984566242601e-11,1183,6,DMG_3,DMG,1.1391421854421978e-06,7.411289562556916e-15,1.2336188930255702e-10,1.573239846902268e-06
LGALS3,0.0001191754473022,2.971675266370951e-07,0.1142106687954984,1.5971028641371729e-245,1.3656024055149223,7.224537958146755e-210,1778,7,DMG_3,DMG,1.1391421854421978e-06,3.6733365875154974e-244,1.6616437303737537e-208,1.573239846902268e-06
CD74,0.0002106168312696,6.793713484676186e-07,0.3298501155243862,1.0441821984819744e-92,3.684626000848746,9.107726388280356e-95,967,13,DMG_2,DMG,4.415913765039521e-06,2.714873716053133e-91,1.1840044304764462e-93,3.493909792119181e-06
CLU,0.0001526684485017,8.829116080552699e-07,0.0224774635492425,7.46059393738199e-50,0.6949364804795101,8.77233929773235e-49,1816,8,DMG_3,DMG,2.9009952836101727e-06,1.3199512350752753e-49,2.8823400549692005e-48,4.414558040276349e-06
CD74,4.500620177266377e-05,1.163749907129344e-06,0.0063832047368459,1.8026513741091744e-168,0.2010238361794988,1.3573738875030935e-67,1293,4,DMG_1,DMG,2.18203107586752e-06,3.0044189568486243e-168,2.908658330363772e-67,5.661486034683295e-06
MIF,8.607078285885312e-05,1.1971600340708389e-06,0.0043259164536036,2.3694925257961784e-11,0.6766092466225374,1.0713837530487296e-12,1040,4,DMG_5,DMG,1.3767340391814648e-05,3.4061455058320055e-11,2.7379807022356426e-12,5.670758056125027e-06
AGT,4.9057841970114046e-05,1.3489312754955515e-06,0.0058923007225573,8.77946539492248e-165,0.1139587734599468,9.794517236063367e-08,1083,4,DMG_1,DMG,2.248218792492586e-06,1.3169198092383718e-164,1.0494125610067893e-07,6.225836656133316e-06
C3,0.0003771901211361,1.5922840939515714e-06,0.0290606856587784,6.430004607168503e-31,1.175233715879537,3.9363201215580036e-10,832,11,DMG_2,DMG,8.279877288548173e-06,1.5198192707852824e-30,7.872640243116006e-10,7.101005967290712e-06
CLU,0.0001407501471232,1.630200373967741e-06,0.1095307256080567,4.737484356329977e-147,1.5307324955971755,3.155957015209966e-158,1667,8,GBM_3,GBM,4.657715354193545e-06,9.474968712659954e-146,6.311914030419934e-157,7.101005967290712e-06
B2M,6.363713304045382e-05,1.6569013923678329e-06,0.0151727535106679,6.019733520376779e-45,0.5292184252300383,2.499808688891115e-34,2037,5,GBM_5,GBM,1.4083661835126578e-05,1.705591164106754e-44,7.082791285191492e-34,7.101005967290712e-06
B2M,0.0001722414691806,1.71577935011868e-06,0.1744503087489162,3.661606347132722e-198,0.7528592316041056,1.1746431817105878e-115,1364,4,GBM_6,GBM,1.887357285130548e-05,2.013883490922997e-197,6.460537499408232e-115,7.182332163287498e-06
MIF,2.1821050080190385e-05,2.0625563357103558e-06,0.0024115554249208,3.6382101745226884e-52,0.063042097592321,3.2427827527391747e-63,2784,2,GBM_1,GBM,3.781353282135652e-06,4.446701324416618e-52,5.095801468590131e-63,8.437730464269635e-06
B2M,8.518992758086153e-05,2.1363775775652597e-06,0.0209731405649066,7.157923550172729e-21,0.4450893226366531,1.9442920973101936e-20,1016,4,DMG_5,DMG,1.6378894761333654e-05,2.0579030206746595e-20,1.1179679559533612e-19,8.545510310261037e-06
ITM2B,0.000198982917099,1.1476938934929184e-05,0.0130113316736594,4.88928327322876e-27,0.7132120715909787,8.111262855928731e-18,935,5,DMG_2,DMG,4.973340205135979e-05,9.77856654645752e-27,2.6361604281768375e-17,4.4909761049722896e-05
CD74,0.000337469908697,2.079044090598429e-05,0.0221580398655738,1.0114761887998648e-18,1.166935082556575,4.4758901271275856e-12,863,10,DMG_5,DMG,0.0001195450352094,2.5848835935996545e-18,9.358679356721317e-12,7.962296517185472e-05
CST3,9.795357014128836e-05,3.2966129270108245e-05,0.0071515369363941,7.097616002629788e-24,0.2157340776594526,2.958595318266296e-19,1012,2,DMG_2,DMG,0.0001224456230032,1.3181286862026748e-23,1.282057971248728e-18,0.0001236229847629
CST3,4.969237338889096e-05,3.456791939179455e-05,0.0052894163993629,4.969125196783646e-41,0.0381323650023283,4.26403610566957e-08,1842,2,GBM_2,GBM,8.987659041866583e-05,9.228375365455343e-41,6.159163263744935e-08,0.0001269841936841
CLU,0.0001626277698498,5.42840980871077e-05,0.0204861016204171,2.100329635582507e-23,0.3824192925673256,7.775475168037269e-16,1947,7,DMG_4,DMG,0.0004885568827839,6.300988906747521e-23,2.332642550411181e-15,0.0001954227531135
SPARCL1,5.507953019950906e-05,8.075526679933922e-05,0.0037820807714147,7.895421497143568e-77,0.1172859418884719,2.5652989347286405e-10,1285,4,DMG_1,DMG,0.000121132900199,9.110101727473346e-77,3.206623668410801e-10,0.0002850185887035
CD74,0.0001304777364802,0.0001276701363058,0.0180655118943941,1.004748839205005e-44,0.3500153038903375,4.350027409846125e-26,1802,8,GBM_2,GBM,0.0002766186286625,2.612346981933013e-44,1.1310071265599923e-25,0.0004332283293289
B2M,7.673416149422059e-05,0.0001288382183076,0.0524237030275278,2.1274292403240184e-216,0.4170601210593767,4.522509532811605e-107,2330,4,GBM_4,GBM,0.0007730293098459,2.552915088388822e-215,2.7135057196869632e-106,0.0004332283293289
LGALS1,3.376610567140357e-05,0.0001299684987986,0.0138992790689088,2.815996055644719e-267,0.2407755947337584,6.001438620455804e-173,1989,3,DMG_1,DMG,0.0001772297710891,8.447988166934156e-267,2.2505394826709265e-172,0.0004332283293289
SPARC,0.0003589877892051,0.0001697471111208,0.0216098216536703,9.202421395520047e-37,0.8230832709257283,4.2433872818750157e-13,709,7,DMG_2,DMG,0.0005516781111427,2.990786953544016e-36,1.0029824484431853e-12,0.0005555360000318
MIF,2.7826800366946253e-05,0.0001743191304346,0.0114253784077552,2.1425594457597903e-210,0.0385605445136109,2.6940725748199976e-57,3106,2,DMG_1,DMG,0.0002178989130433,4.0172989607996076e-210,5.051386077787496e-57,0.0005603114906828
LGALS1,5.561426485337742e-05,0.0001825042039067,0.0044007329729412,3.673558026312918e-17,0.0828709703068066,1.939869751271302e-06,2272,3,GBM_2,GBM,0.000338936378684,3.9796878618389937e-17,2.5218306766526927e-06,0.0005763290649687
ITM2B,4.861557374880676e-05,0.0002139351060539,0.0039289526395137,1.608831084440517e-55,0.094818066800178,2.089278019761616e-26,2151,3,DMG_1,DMG,0.000246848199293,1.608831084440517e-55,2.8490154814931124e-26,0.0006639365360294
APOE,3.947909478092489e-05,0.0002634913421484,0.0220190375754507,9.802453994192845e-228,0.1838714022429513,8.820674473226676e-91,3143,4,DMG_1,DMG,0.0002823121523019,2.4506134985482116e-227,2.2051686183066696e-90,0.0008038718913004
LGALS1,3.500830026502542e-05,0.0003306011414715,0.0066989588104363,1.0977761745522312e-136,0.1350604835834057,1.1619148534508883e-117,2840,3,GBM_1,GBM,0.0005195160794552,2.012589653345757e-136,2.5562126775919542e-117,0.0009918034244145
MIF,4.1837383295692765e-05,0.0004614790594953,0.0065606454105107,8.863635533626016e-25,0.0962536957064178,1.0023031135124745e-21,1314,2,GBM_6,GBM,0.0025381348272242,9.749999086988619e-25,1.8375557081062037e-21,0.0013617414870353
AGT,0.0001074357626196,0.0009341399655866,0.0009757260251418,1.4135883985219468e-10,0.2471380111117098,0.0003996069315543,470,4,GBM_3,GBM,0.0023353499139666,1.5706537761354968e-10,0.0006147798946989,0.002712019254929
CD74,0.0001649387169747,0.0021454816862455,0.0224165566724478,1.6664372274696591e-69,0.617070514063379,8.993808964462762e-36,1331,9,DMG_3,DMG,0.0061682598479559,4.791007028975269e-69,1.7238133848553628e-35,0.0061299476749873
MIF,8.232693534972809e-05,0.0022507153788584,0.0054190460990097,7.855553706061315e-14,0.6465908672592595,1.1220386820889031e-13,1025,4,DMG_2,DMG,0.0065020666500356,1.1346910908755235e-13,2.9173005734311483e-13,0.0063301370030394
APOE,8.5179717635913e-05,0.0027662131059699,0.0195149223629116,3.666132027097772e-102,0.5215785712708244,4.739301322952731e-76,1766,4,DMG_3,DMG,0.007069211270812,1.4053506103874792e-101,2.1800786085582563e-75,0.0076602824473014
SPP1,0.0001548795402394,0.0038153225679666,0.0280618117030896,2.188604030572673e-111,0.54056404533536,1.0096184290481949e-68,1227,4,GBM_3,GBM,0.0084784945954815,2.188604030572673e-110,5.048092145240975e-68,0.0104054251853636
PTGDS,0.0001408632714283,0.003919318359906,0.0502254085553911,1.4780160068713165e-62,0.6591966635236878,3.124767309433799e-38,1515,6,GBM_6,GBM,0.0143708339863222,4.06454401889612e-62,6.874488080754358e-38,0.0105295120116879
SERPINE2,0.0003784257037351,0.0050140334000481,0.0052247442357404,9.501306595976243e-14,0.6633055784157357,0.002141362564502,679,7,DMG_5,DMG,0.020148442329608,1.6810003977496432e-13,0.0028971375872674,0.0132724413530687
CST3,6.334614717393759e-05,0.0052561153903325,0.0070547916057473,1.5624657866315186e-30,0.163255193036344,1.403027161347869e-13,1002,2,DMG_5,DMG,0.020148442329608,8.984178273131232e-30,4.0337030888751234e-13,0.0137116053660848
CCL2,4.737396728175234e-05,0.0058667832887752,0.0122879066144204,4.607098631859133e-106,0.2293637226655223,1.6045101276910367e-55,1105,3,GBM_2,GBM,0.0089666065082939,5.989228221416873e-105,5.214657914995869e-55,0.0150860141711363
TIMP1,2.9201411280356296e-05,0.0059940318977485,0.0028856297800997,1.3705089794609743e-34,0.0932190673033915,1.9274531840380784e-14,863,2,GBM_4,GBM,0.0220506587096645,1.4951007048665174e-34,3.3042054583509916e-14,0.0151961372055596
ITM2B,8.890470693198978e-05,0.0061713437586275,0.0086579431515593,9.222196754142127e-32,0.289413447711735,2.6244542994595486e-11,1882,5,GBM_5,GBM,0.0310750098007964,1.4252485892765108e-31,4.055974826437484e-11,0.0153065358729569
ITM2B,8.144068041435987e-05,0.006207650659588,0.0070772102038893,3.646849932640213e-44,0.1897339708819949,5.389861703831191e-23,1455,4,GBM_2,GBM,0.0089666065082939,7.901508187387127e-44,1.0009743164257926e-22,0.0153065358729569
TIMP1,9.31982885506854e-05,0.0066596718744109,0.0424711146618328,1.7739866514351872e-122,0.3445952377515162,4.476124301084081e-40,1821,5,DMG_3,DMG,0.015317245311145,1.0200423245752327e-121,1.0295085892493388e-39,0.0161992018566751
B2M,0.0001352454604304,0.0070550248870128,0.0142628974335499,1.60309721812651e-39,0.0965328996989952,0.0001757393509641,1700,3,DMG_4,DMG,0.0317476119915578,7.213937481569296e-39,0.0002636090264462,0.0169320597288308
MIF,2.565583978772622e-05,0.0073117670119521,0.0036219105504797,3.038297183797391e-37,0.191209632580383,1.0821614766767314e-12,1999,3,GBM_5,GBM,0.0310750098007964,5.739005791617294e-37,1.839674510350444e-12,0.0171823314620763
APOE,6.409633791340432e-05,0.0073502195698881,0.008902471256664,1.3483149308634634e-43,0.2134010307276798,3.712232829825112e-28,2011,4,GBM_4,GBM,0.0220506587096645,1.7977532411512844e-43,9.637151022099023e-28,0.0171823314620763
LGALS1,8.664229517880805e-05,0.0082780108858269,0.0078803024193867,3.0996555956091486e-24,0.5625723152069402,3.5504595581167395e-15,974,4,DMG_5,DMG,0.0271991786248599,1.4258415739802084e-23,1.3610094972780834e-14,0.019103102044216
MIF,2.3473826644306013e-05,0.0109977173267007,0.0056786457214337,1.144812990620519e-72,0.135339087911194,6.731266904004666e-28,2274,3,GBM_4,GBM,0.0263945215840817,2.7475511774892456e-72,1.3462533808009331e-27,0.02505809011147
PTGDS,9.254322365708906e-05,0.0138073000710977,0.00620638360097,2.9301783239744444e-23,0.2290668652464275,4.8913833240321316e-17,1103,4,DMG_4,DMG,0.0414219002132932,6.5929012289425e-23,4.402244991628919e-16,0.0310664251599699
CLU,0.0001525491881323,0.015564128267737,0.0451334743181397,5.384626984404316e-19,0.5651584910769231,1.266450974494096e-12,1510,8,GBM_6,GBM,0.0428013527362767,5.384626984404316e-19,1.5478845243816729e-12,0.0345869517060822
COL1A1,3.550117482365577e-05,0.0186728198925634,0.0008059281669584,1.968658618301328e-22,0.0919617502320205,0.0467470014598554,287,2,DMG_3,DMG,0.0390431688662691,2.1561499152824065e-22,0.0587378497904071,0.0409891168373345
PTGDS,6.847980527357049e-05,0.0195464821443222,0.0016051881420747,2.5897343966325964e-12,0.3807020250208158,1.1976945384542848e-12,300,2,DMG_5,DMG,0.0561961361649265,3.970926074836648e-12,2.7546974384448552e-12,0.0423899612768435
APOE,0.0001441435174655,0.0217312032376763,0.0099408267168117,1.4145128945692828e-17,0.4315557760114214,2.878583152496575e-07,970,4,DMG_2,DMG,0.0565011284179584,2.1633726622824326e-17,5.345940140350783e-07,0.0465668640807349
SPP1,0.0001316601522196,0.0246515920173209,0.0192965450175624,3.936781264045699e-59,0.5914193372945444,6.432386985092675e-45,1521,6,DMG_3,DMG,0.0472488846998652,1.0060663230339011e-58,1.849311258214144e-44,0.0522033713307973
CTSB,0.0002598952689492,0.025212321029527,0.002338187448847,2.434176197071063e-07,0.3643492123573543,0.1791565233461594,456,4,DMG_2,DMG,0.0595927587970638,3.01374195827846e-07,0.2025247655217454,0.0525422115454066
SPARC,0.0001398664516346,0.0253954022469465,0.0025467109117924,6.80384523227156e-13,0.1927344633218946,0.0213357839496338,759,4,GBM_3,GBM,0.0507908044938931,8.50480654033945e-13,0.0251009222936868,0.0525422115454066
CD74,0.00014242137857,0.0272988216461563,0.0373471652035575,1.91860375137168e-74,0.6522894792090562,1.331324381475577e-50,1457,9,GBM_5,GBM,0.0928159935969316,1.087208792443952e-73,7.544171495028268e-50,0.0558384988216835
SPARCL1,9.342009430827696e-05,0.0288386736600883,0.002421522345753,7.225803345730375e-10,0.1829417988701276,0.0215187355017773,698,4,DMG_4,DMG,0.0648870157351987,9.290318587367625e-10,0.0273987520161573,0.0583254074024258
ITM2B,7.940791843454645e-05,0.030337011664349,0.0151531507877287,1.2360806998739096e-30,0.2851273091936135,6.19663510616007e-15,1377,4,GBM_6,GBM,0.0667414256615679,1.6996109623266256e-30,8.520373270970097e-15,0.0606740233286981
PTGDS,0.0002516280813401,0.0310556238974354,0.0066051893347188,1.354638733714179e-13,0.6002044932865509,4.153784258701032e-11,642,5,DMG_2,DMG,0.0665361238163069,1.8537161619246654e-13,8.999865893852234e-11,0.0614287066103118
SERPINE2,0.0002554797996008,0.0332680619081534,0.0014913612928664,0.0005356440041148,0.4260359275561,0.3052627859133934,406,5,DMG_2,DMG,0.0665361238163069,0.0006055106133472,0.3307013514061762,0.0650896863420393
TIMP1,9.373597625358268e-05,0.0337388060765807,0.0119566651283871,1.5338816644503378e-56,0.3606580272495365,7.324185001434298e-36,1462,5,GBM_5,GBM,0.0955932838836454,5.215197659131149e-56,2.490222900487661e-35,0.0653009149869304
CCL2,7.63500957037326e-05,0.0363733659916061,0.0237318198408223,1.6062861116289067e-139,0.2485218632948343,6.0605621293508295e-49,1320,3,DMG_3,DMG,0.0643528782928416,1.2314860189154952e-138,2.323215482917818e-48,0.0696511263669053
SPARC,0.0001230749276522,0.0502186276363292,0.00775555259226,1.0486926947683944e-39,0.224594526466355,4.338169958975503e-10,968,4,GBM_5,GBM,0.1135412155355002,2.228471976382838e-39,6.145740775215295e-10,0.0951510839425185
TIMP1,0.0002230475750791,0.0520708739830299,0.0114756364142027,3.4460361844435183e-17,0.7855696069223407,5.405356885081617e-15,866,6,DMG_5,DMG,0.1330700112899653,7.205348385654629e-17,1.776045833669674e-14,0.0976328887181811
LGALS1,4.074726701257564e-05,0.0599395762404331,0.0022014175933129,6.445295445100817e-09,0.1533589141645079,9.093541382821548e-17,1739,3,GBM_5,GBM,0.1135412155355002,7.826430183336706e-09,2.208431478685233e-16,0.1104062239901022
APOE,5.531063710163857e-05,0.0601100552835001,0.0137394067508428,8.042161426377503e-81,0.2680100837294049,9.055666858509855e-54,1380,3,GBM_5,GBM,0.1135412155355002,6.835837212420877e-80,7.697316829733378e-53,0.1104062239901022
MIF,2.4642953720389e-05,0.0611747840159354,0.0040634304730523,7.234741466156426e-29,0.0420996547542101,1.1924874367842829e-25,2322,2,GBM_2,GBM,0.079527219220716,1.0450182117781506e-28,2.58372277969928e-25,0.1112268800289735
TIMP1,0.0002374384282268,0.0666866213867391,0.0285694664488222,2.684116024747833e-52,0.6884545523581657,1.5207123904672938e-24,754,5,DMG_2,DMG,0.1238465825753727,1.7446754160860916e-51,7.907704430429928e-24,0.1200359184961305
FN1,0.0001497840817685,0.0675554593256784,0.0270154842671773,7.332461845127466e-67,0.3852682024512851,1.3597980605514169e-14,1208,7,GBM_5,GBM,0.1148442808536533,3.116296284179173e-66,2.8895708786717606e-14,0.1203958681051694
LGALS3,0.0001314545064969,0.0721685012814575,0.0016873332108867,4.627363005644407e-10,0.3605300696071487,0.0001673805533744,302,3,DMG_2,DMG,0.1250920688878598,6.015571907337728e-10,0.0002417719104297,0.1273561787319839
C3,9.266933970888536e-05,0.0802462820206869,0.0038289537254258,6.23093964290499e-20,0.1960545870025334,0.0860477588802863,1072,6,GBM_2,GBM,0.0948365151153573,7.363837759796806e-20,0.0932184054536435,0.1402362210070257
APOE,3.7907986515288006e-05,0.0857321605027629,0.0279924046728966,1e-300,0.1776201186835245,8.398106993931933e-194,3240,3,GBM_1,GBM,0.117881720691299,5.5e-300,2.309479423331282e-193,0.1483825854855513
LGALS1,8.928594088466564e-05,0.0892048722273269,0.0082173171764835,5.524204945946346e-22,0.629268148705673,3.895390870015695e-18,992,4,DMG_2,DMG,0.1449579173694063,9.57528857297367e-22,1.4468594660058297e-17,0.152922638103989
SPARCL1,8.75496320755964e-05,0.1002489918092214,0.0041153721088995,4.303134152467714e-32,0.1442203834533431,0.0087633173101375,650,3,GBM_5,GBM,0.1429673792124595,7.315328059195114e-32,0.0106411710194527,0.1697688505216671
CTSB,2.64915712594905e-05,0.1009181500323243,0.0002608123399564,0.2627109058371804,0.1125877288985823,0.0999433416560302,220,2,GBM_5,GBM,0.1429673792124595,0.2627109058371804,0.1132691205435009,0.1697688505216671
FN1,0.0002156535033941,0.1101310463721927,0.015463521954476,1.8941882866174423e-16,0.610011772191933,6.534604627923061e-07,487,7,DMG_5,DMG,0.2533014066560432,3.6305275493500974e-16,1.0735421888730742e-06,0.1835517439536545
FN1,0.0001192872045346,0.1142742313737994,0.0058350455095284,3.1898863979584457e-35,0.2656996017898734,3.179401059935277e-05,763,6,DMG_3,DMG,0.1877362372569561,4.3157286560614264e-35,4.875081625234092e-05,0.1887097398833384
CCL2,7.597440074412868e-05,0.1173001291441795,0.002380857632869,1.395672588367626e-21,0.252538557304721,6.276240339842042e-07,236,2,DMG_2,DMG,0.1794001975146274,2.267967956097392e-21,1.087881658905954e-06,0.1919456658722937
CTSB,0.0001248043937057,0.1231412671918433,0.0012610114736767,3.894138200967296e-12,0.2437343427634567,0.0020047085772541,656,4,GBM_3,GBM,0.2238932130760787,4.581339059961524e-12,0.0028638693960773,0.1981339866177047
SPARCL1,0.0001279674379197,0.1232833694510163,0.013722401194631,1.0236687416508147e-41,0.3178912905001195,3.153787305829904e-13,1775,7,GBM_4,GBM,0.2465667389020326,1.2284024899809778e-41,4.2050497411065384e-13,0.1981339866177047
