gene,statistic_ir,pvalue_ir,statistic_gc,pvalue_gc,statistic_ic,pvalue_ic,n_spots_expressed,n_isoforms,padj_ir,padj_gc,padj_ic,sample,n_spots,padj_ir_global,padj_gc_global,padj_ic_global
APP,9.039016639124546e-05,3.568909084476268e-05,0.001969088467280885,4.4362065837166113e-13,0.5649896761772419,2.481526727776053e-10,933,3,9.992945436533549e-05,6.210689217203256e-13,5.790229031477457e-10,ZH1007nec,952,9.070977256377181e-05,6.654309875574918e-13,4.6338713386022214e-10
VCAN,0.00038034707967530103,0.0008395420735685526,0.000572154624642002,3.968318474421797e-05,0.7948702406401094,8.92327641633618e-08,547,7,0.0019589315049932895,4.273573741685012e-05,1.784655283267236e-07,ZH1007nec,952,0.0017864674356168038,4.841348538794592e-05,1.5405279096127555e-07
IGFBP5,5.974537341429113e-05,0.01050089006556073,0.008791523956887958,7.593072712160346e-70,1.6933632509427277,2.6173030803148006e-64,816,4,0.021001780131121455,5.315150898512242e-69,3.6642243124407206e-63,ZH1007nec,952,0.02001732168747514,2.4377759760093745e-69,1.8421787065292634e-63
TIMP2,0.0002668992841743627,0.03026111587317583,0.0002529502585147429,0.1642210494698469,0.1337116650588451,0.26289409273102543,554,2,0.0529569527780577,0.1642210494698469,0.2831167152487966,ZH1007nec,952,0.053247925046069004,0.166958066961011,0.2764920630446992
ITM2B,2.6180650486409227e-05,0.04530971660677572,0.0023290169323462763,1.3582375238188725e-25,0.09073059355711421,1.9857750696818716e-05,947,2,0.07048178138831779,2.716475047637745e-25,3.088983441727356e-05,ZH1007nec,952,0.07403284052714247,2.589140279779726e-25,3.0796342182354454e-05
SPARC,4.5170537994193746e-05,0.05057794089255105,0.004526726688686667,8.258628417848491e-33,0.2306998610333627,4.149118209093581e-12,943,2,0.07080911724957147,2.890519946246972e-32,1.1617530985462027e-11,ZH1007nec,952,0.08048489724640732,1.7371597706508895e-32,8.43654035849028e-12
SERPINE1,0.00022812725351967122,0.08565380030852816,0.0016529254311285155,5.916590868163417e-11,0.08249913805601451,0.37519476757253806,805,2,0.10901392766539947,7.530206559480712e-11,0.37519476757253806,ZH1007nec,952,0.12848070046279225,8.393303324603916e-11,0.39234652837585404
COL3A1,0.00016125912325085968,0.12841115469438844,0.003737478150762905,2.604657519093516e-32,0.057340880788649344,0.21943738544691407,437,2,0.14981301381011983,7.293041053461844e-32,0.2560102830213998,ZH1007nec,952,0.18650191515137368,5.355644112293409e-32,0.23212162738026174
NCAM1,0.00022741475708331068,0.3646551941163873,0.0004893961831494322,1.1774877941527462e-05,0.43504707585111074,4.055076633232009e-05,654,4,0.3927055936638017,1.3737357598448705e-05,5.6771072865248126e-05,ZH1007nec,952,0.45089121975201946,1.4559477454726523e-05,5.984508257108529e-05
COL1A2,0.00014242101073425634,0.7621201331920782,0.0029491741403081906,8.511585053248404e-23,0.22154951958208452,2.3816550513262857e-06,394,3,0.7621201331920782,1.4895273843184706e-22,4.167896339821e-06,ZH1007nec,952,0.7924317293985812,1.4834476807090076e-22,3.823183108707985e-06
VCAN,0.0005134591286340857,1.0745084507184765e-18,0.005514482099305376,2.0612313574175957e-34,1.1845154942492728,4.4823897611043125e-29,1028,7,1.2894101408621718e-17,2.473477628901115e-33,5.3788677133251755e-28,ZH1019T1,1109,7.562886403133893e-18,4.3861085861327905e-34,1.3903005530204901e-28
SERPINE2,0.0001332516290627017,1.4947085280096893e-08,0.0008972048282674764,1.8637427159757616e-11,0.20140133142197564,1.2950924330418508e-10,1014,2,8.968251168058136e-08,5.591228147927285e-11,5.180369732167403e-10,ZH1019T1,1109,5.101822028969291e-08,2.6855505277446014e-11,2.4433187138830797e-10
SPARC,5.410328148036481e-05,2.5210040971551165e-05,0.0016794275514644013,1.7728651389989257e-12,0.18689523332960808,1.2403766009191945e-09,1104,2,0.00010084016388620466,7.091460555995703e-12,3.7211298027575835e-09,ZH1019T1,1109,6.784466908520386e-05,2.6376774019252312e-12,2.2928173532142687e-09
NCAM1,0.0002726436566957809,6.775213376067024e-05,0.0004333106276007561,0.030389416840105037,0.4034773493175055,0.006711402808727921,760,5,0.0002032564012820107,0.0331520910982964,0.008948537078303894,ZH1019T1,1109,0.0001675491956513872,0.03196128322838633,0.008412237767104175
HMGB1,0.0002751872054103216,0.008302418176576575,0.0015313785187279143,5.861823843801677e-06,0.6490817773571426,5.934187805533925e-13,1013,5,0.01992580362378378,1.1723647687603353e-05,3.560512683320355e-12,ZH1019T1,1109,0.01633701641197326,7.3473545439431976e-06,1.234041327741714e-12
SPP1,6.027807475763401e-05,0.031302350853767015,0.0026059864259044465,4.8643513561698705e-15,0.11960224912183984,2.4342305395746647e-05,1050,2,0.06260470170753403,2.9186108137019226e-14,5.842153294979195e-05,ZH1019T1,1109,0.05404085100225815,7.480473093941902e-15,3.681522221009617e-05
ITM2B,4.147721410652755e-05,0.051173346538082726,0.001022978411183761,1.3798080514019971e-09,0.13232167733159209,0.0005181782811018216,1109,2,0.08772573692242754,3.311539323364793e-09,0.0010363565622036432,ZH1019T1,1109,0.08073036565921671,1.8843647269146677e-09,0.0007024194477158026
C3,8.778178787670715e-05,0.5188195583135092,0.0006890129824747979,0.0008985873556593325,0.08999985187949537,0.42444884891903295,1031,2,0.5958137665764998,0.0010783048267911989,0.4630351079116723,ZH1019T1,1109,0.5965324228698102,0.000996615067185805,0.4388369454925595
COL1A2,0.0001289560526249862,0.5188666442487425,0.0006613609146358262,8.230932795481003e-06,0.19288392818407127,0.000903297795105047,382,3,0.5958137665764998,1.4110170506538862e-05,0.0015485105058943662,ZH1019T1,1109,0.5965324228698102,1.024667143927227e-05,0.001206594864994333
SERPINE1,6.643378492122428e-05,0.5347858310458664,0.0001606627950549077,0.00023287075385154858,0.17124746031942462,0.07602787958606345,216,2,0.5958137665764998,0.00034930613077732286,0.09123345550327615,ZH1019T1,1109,0.6041099202555158,0.00027317530740277816,0.08641678238664356
DKK3,5.3533179044153754e-05,0.5461626193617914,0.00030139902826166936,0.03472227168858332,0.1308960961763638,0.006621227609668204,668,2,0.5958137665764998,0.03472227168858332,0.008948537078303894,ZH1019T1,1109,0.6094375569707795,0.03610327113074288,0.008356445879788147
COL3A1,7.555374161496608e-05,0.7182630846692375,0.0003355600068587761,0.0007306325957990102,0.06834087209337457,0.9173496535363939,288,2,0.7182630846692375,0.0009741767943986803,0.9173496535363939,ZH1019T1,1109,0.7597811820489622,0.0008202807670626924,0.9223900362481323
SPARC,0.00011609066467375402,3.123465551218634e-22,0.007939051206566789,2.7085792987277845e-83,0.4630537402844848,5.516848661182498e-71,1447,2,3.748158661462361e-21,3.2502951584733415e-82,6.620218393418998e-70,ZH1019inf,1481,2.5981554357864097e-21,1.1265227537890557e-82,4.807539547601891e-70
VCAN,0.00032817689560697683,3.0588504961733697e-13,0.004897677746908387,3.900479557525361e-22,0.9195433284997818,2.4989463431389754e-25,1048,10,1.835310297704022e-12,9.361150938060868e-22,7.496839029416926e-25,ZH1019inf,1481,1.5993418308563618e-12,6.609145916917973e-22,6.825480310364664e-25
NCAM1,0.0003060173734299573,1.7337800193291082e-11,0.0007068043031266121,0.032723434859031876,0.40047877716649,4.530675481080703e-08,863,5,6.935120077316433e-11,0.032723434859031876,6.040900641440938e-08,ZH1019inf,1481,7.210948716755155e-11,0.03421936330973048,7.896320124169227e-08
SPP1,6.575359358755722e-05,1.80470363751124e-09,0.006131207029303007,3.324146637881411e-41,0.20069850529404462,8.713002287949558e-21,1478,2,5.4141109125337205e-09,1.3296586551525645e-40,2.091120549107894e-20,ZH1019inf,1481,6.740015625807284e-09,7.900244606912963e-41,2.2145547481871795e-20
ITM2B,8.141589428532859e-05,2.367235769362027e-06,0.002966976457356253,5.23646054677484e-24,0.13669078310417954,5.324687653760406e-13,1439,2,5.681365846468864e-06,1.5709381640324522e-23,9.128035977874982e-13,ZH1019inf,1481,7.220069096554182e-06,9.394826275096038e-24,1.1200205064806372e-12
HMGB1,0.00023654280301118179,1.5564598054609872e-05,0.002824536039795393,8.195118105909492e-12,0.45019339784742346,2.7770963538595214e-14,1188,5,3.1129196109219744e-05,1.2292677158864238e-11,5.554192707719043e-14,ZH1019inf,1481,4.3156385515054645e-05,1.1997652907051496e-11,6.122995575377017e-14
C3,4.874032194539184e-05,0.009455595278576095,0.0015489020379739489,5.5453985027537924e-17,0.1829272122344841,7.3039418793982115e-28,1358,2,0.016209591906130447,9.506397433292216e-17,2.9215767517592846e-27,ZH1019inf,1481,0.01840823336148325,9.060785053606642e-17,2.2277022732164544e-27
TIMP2,0.00011894875727810996,0.03169816505000326,0.0019903025424447907,6.150431300871287e-22,0.09119436225661291,1.0825318588899409e-10,1130,2,0.04754724757500489,1.2300862601742574e-21,1.6237977883349112e-10,ZH1019inf,1481,0.0542127495715009,1.032595346843528e-21,2.06357635600895e-10
SERPINE2,4.327868644202016e-05,0.16499634187409862,0.0036690321666535334,8.93721707553731e-70,0.23648262623582694,1.5001415568701814e-33,935,2,0.21999512249879816,5.362330245322385e-69,9.000849341221089e-33,ZH1019inf,1481,0.2287449285072731,2.819846077281599e-69,5.1797340548536456e-33
COL3A1,5.279445861215297e-05,0.39489431080078324,0.0006627462257831432,5.547724126021591e-10,0.05263496351186414,0.4208204917581484,341,2,0.4738731729609399,7.39696550136212e-10,0.4208204917581484,ZH1019inf,1481,0.4817710591769555,7.633334699713918e-10,0.4375576704076202
COL1A2,9.333762537087934e-05,0.522182150787343,0.0010323042183323435,1.246035112450264e-06,0.1165941381217182,0.177102877383007,491,3,0.5696532554043742,1.3593110317639243e-06,0.19320313896328037,ZH1019inf,1481,0.5965324228698102,1.6404634933697718e-06,0.1917741216632561
DKK3,4.32326073678679e-05,0.888182822939568,0.0008319847944187837,1.4378235033028927e-09,0.12501334390207738,9.746017858594805e-07,783,2,0.888182822939568,1.7253882039634713e-09,1.1695221430313766e-06,ZH1019inf,1481,0.8993758672785124,1.949049637810588e-09,1.5924297036811156e-06
SPP1,5.375336577162555e-05,1.944570661614797e-79,0.01593101285952681,3.487102063056476e-255,0.09607053290411183,2.1323378642233394e-47,2381,2,2.9168559924221957e-78,2.615326547292357e-254,4.569295423335727e-47,ZH8811Abulk,2383,1.1861881035850263e-77,7.090440861548168e-254,9.07483323611328e-47
HMGB1,0.00013683337707298308,3.884575674700966e-62,0.00644214233544199,1.4971946466545415e-71,0.5349830979502711,7.558483194793885e-104,2278,5,2.9134317560257245e-61,2.245791969981812e-71,5.668862396095414e-103,ZH8811Abulk,2383,1.1847955807837947e-60,5.0738263025515014e-71,1.383202424647281e-102
SERPINE2,0.00023831998118512774,4.521275771818597e-55,0.0008236958484513075,1.0141279057864569e-16,0.11391776686705633,1.009236611614354e-59,2056,2,2.2606378859092988e-54,1.0865656133426324e-16,2.5230915290358847e-59,ZH8811Abulk,2383,1.0342418328035041e-53,1.627942164551944e-16,6.368631031911268e-59
SERPINE1,0.00023032291581115007,2.111028173056472e-28,0.014401780991755018,2.9781560083319902e-261,0.06867713349958064,4.53372965826259e-26,1772,2,7.91635564896177e-28,4.467234012497985e-260,6.800594487393885e-26,ZH8811Abulk,2383,2.2724597392313787e-27,7.785750707496488e-260,1.2764192730185446e-25
C3,6.652070078492185e-05,2.3657425180591587e-22,0.0025562031090601736,3.1068598733179863e-89,0.24622331681862183,7.09037930853302e-100,2234,2,7.097227554177476e-22,5.825362262471224e-89,3.54518965426651e-99,ZH8811Abulk,2383,2.0615756228801238e-21,1.4961983074136617e-88,1.0812828445512855e-98
SPARC,3.8096160299051684e-05,3.4804546872614424e-16,0.0018816635170542345,6.325160292026808e-47,0.20306559868262727,1.5906265551969276e-68,2353,2,8.701136718153606e-16,7.298261875415548e-47,4.7718796655907825e-68,ZH8811Abulk,2383,2.196286923340841e-15,1.6076449075568138e-46,1.2655854765262511e-67
NCAM1,0.0001045498207947008,8.03574417227233e-13,0.002499030918723659,6.454598288769687e-89,0.05499177501587721,5.376590471374418e-21,1891,2,1.721945179772642e-12,1.0757663814616146e-88,7.331714279146934e-21,ZH8811Abulk,2383,3.869845219804832e-12,3.028696120115007e-88,1.3857972623401668e-20
IGFBP5,5.5688056344858466e-05,1.3277057790273611e-11,0.004152187878814479,3.2991327058878444e-130,0.6587280237923263,1.1798786656147305e-207,1917,3,2.489448335676302e-11,9.897398117663533e-130,1.7698179984220958e-206,ZH8811Abulk,2383,5.6504687805117925e-11,2.8749585008451214e-129,5.397944895187393e-206
ITM2B,4.3864464106492724e-05,4.768754966940801e-11,0.0057067884888753586,3.266944076116896e-156,0.13443921027434272,4.1538219087616915e-29,2335,2,7.947924944901335e-11,1.6334720380584477e-155,7.788416078928172e-29,ZH8811Abulk,2383,1.9392936865559256e-10,4.270362613781371e-155,1.3106024298334304e-28
AGT,3.561389403491466e-05,1.8282831637269068e-10,0.004955854531191973,2.0554457594795212e-114,0.17149905130933119,5.732221342996047e-96,2190,2,2.74242474559036e-10,5.1386143986988026e-114,2.1495830036235176e-95,ZH8811Abulk,2383,7.118634446000509e-10,1.5045862959390095e-113,7.492832184059118e-95
DKK3,3.469379802874655e-05,3.1032357334859704e-05,0.0009171881406377274,1.439764706986754e-48,0.11205497445960165,1.7924816956004232e-27,1629,2,4.2316850911172326e-05,1.7997058837334424e-48,2.987469492667372e-27,ZH8811Abulk,2383,8.111110518157805e-05,3.710942836317971e-48,5.37744508680127e-27
TIMP2,0.00011640252820521701,0.0001380115331984384,0.00039634089057095673,5.833014326737829e-11,0.05834605428011444,2.1366837039591605e-05,1428,2,0.000172514416498048,5.833014326737829e-11,2.289303968527672e-05,ZH8811Abulk,2383,0.00032379628942710544,8.33938767025799e-11,3.2858245195338354e-05
COL1A2,0.00010249729698459815,0.017436578353202975,0.0057210016011898885,6.485444819563933e-61,0.06900623276569419,1.6055210380868178e-09,1482,3,0.020119128869080353,8.843788390314454e-61,1.8525242747155591e-09,ZH8811Abulk,2383,0.03190893838636145,1.8544318780940622e-60,2.9381034996988768e-09
VCAN,8.584146536616823e-05,0.054218615710847004,0.005850022804697486,7.417301145365017e-140,0.0846552710509882,1.2251541164580799e-11,1899,3,0.05809137397590751,2.7814879295118815e-139,1.5314426455725997e-11,ZH8811Abulk,2383,0.08408480233122882,7.540922831121101e-139,2.410787132385254e-11
COL3A1,6.788621873152787e-05,0.3245635510783642,0.005805875844332474,5.072975382443802e-91,0.02602833187140118,0.021092759559632294,1492,2,0.3245635510783642,1.0870661533808146e-90,0.021092759559632294,ZH8811Abulk,2383,0.41827556230521584,2.5090662026681503e-90,0.02556274834048152
SPP1,3.9427808162779055e-05,2.02358774201734e-62,0.011852739537025673,5.4452305867692675e-233,0.09179259840295173,1.6998910523466873e-47,2528,2,3.0353816130260096e-61,4.0839229400769505e-232,3.642623683600044e-47,ZH8811Bbulk,2528,7.406331135783464e-61,9.96477197378776e-232,7.406668156653423e-47
HMGB1,9.444718220968869e-05,2.1247061412355484e-59,0.006767113285535976,1.968104378833923e-77,0.4177275312690637,7.51688935834379e-98,2370,5,1.5935296059266612e-58,3.6901957103136055e-77,3.758444679171895e-97,ZH8811Bbulk,2528,5.554588912087219e-58,7.503397944304332e-77,1.058146732751472e-96
SERPINE1,0.0002826434596043534,5.2622046204614345e-42,0.014553058339458415,9.313656886578315e-295,0.09144030929157886,1.1961688508343462e-42,2005,2,2.631102310230717e-41,1.3970485329867474e-293,1.7942532762515194e-42,ZH8811Bbulk,2528,8.024862046203688e-41,2.840665350406386e-293,4.560393743805945e-42
C3,8.279642903145932e-05,3.21541208821464e-41,0.0032420519854490354,5.084098159006036e-122,0.25004148774235285,2.7607724489896256e-132,2309,2,1.20577953308049e-40,1.271024539751509e-121,2.0705793367422193e-131,ZH8811Bbulk,2528,4.526310862640609e-40,4.045173752600455e-121,6.315266977063769e-131
SERPINE2,0.00016167195730394069,8.938532095997623e-40,0.0008971651186228445,8.388857106938382e-23,0.08168885833312843,6.3458795522892075e-47,2193,2,2.6815596287992867e-39,8.988061186005409e-23,1.1898524160542265e-46,ZH8811Bbulk,2528,1.1683938382625465e-38,1.4761162024708883e-22,2.639308995611193e-46
NCAM1,0.00012972567541177457,7.203332763342892e-18,0.0018675884434457065,4.133695976308447e-65,0.20950463915578899,1.7584085384787804e-48,2061,3,1.800833190835723e-17,6.889493293847412e-65,4.3960213461969515e-48,ZH8811Bbulk,2528,4.882258872932404e-17,1.2607772727740762e-64,7.848506403454069e-48
SPARC,3.533338853623665e-05,3.225245775529822e-14,0.001435673643397441,1.67929367591366e-44,0.2292800914602101,1.7677697243857697e-85,2501,2,6.911240947563904e-14,2.099117094892075e-44,6.629136466446636e-85,ZH8811Bbulk,2528,1.844437427881117e-13,4.097476569229331e-44,1.9029521150740933e-84
IGFBP5,3.9308894598096255e-05,8.448269544703842e-12,0.003341222911090632,1.78999202907249e-130,0.4581372273030961,1.6326759219572238e-212,2067,2,1.5840505396319704e-11,5.36997608721747e-130,2.4490138829358355e-211,ZH8811Bbulk,2528,3.770812991904398e-11,1.6378427066013284e-129,9.959323123939064e-211
AGT,3.3417630213093214e-05,3.604121942595862e-10,0.004776123315332875,1.1358514647578704e-113,0.11728979188359862,2.5678312730465896e-70,2310,2,6.006869904326436e-10,2.4339674244811508e-113,7.703493819139769e-70,ZH8811Bbulk,2528,1.3740714906146723e-09,7.698548816692233e-113,2.1359687407614814e-69
ITM2B,3.773277676110549e-05,3.7201785259475807e-09,0.00579017158365467,5.465455445514326e-173,0.144558014798484,1.9190922903742702e-45,2456,2,5.580267788921371e-09,2.732727722757163e-172,3.1984871506237834e-45,ZH8811Bbulk,2528,1.334887588722367e-08,8.334819554409347e-172,7.472210407201946e-45
TIMP2,9.122728310431163e-05,0.025394391856593257,0.00036973681881493953,1.1872820498800974e-10,0.0486726386123011,0.02327950718938769,1551,2,0.03462871616808171,1.1872820498800974e-10,0.02327950718938769,ZH8811Bbulk,2528,0.04556052656624084,1.6713278086773678e-10,0.028027301418802286
DKK3,2.4048452690480805e-05,0.048423017398612545,0.000816456839213505,3.303298085715323e-53,0.11569466292966504,1.7337381854076975e-29,1699,2,0.06052877174826568,4.504497389611804e-53,2.3641884346468603e-29,ZH8811Bbulk,2528,0.07841957684908049,9.300054610552372e-53,5.566212068940503e-29
COL1A2,8.167121283845717e-05,0.14387604199491058,0.0026898944485225364,5.03189726214518e-43,0.09009887737974155,2.7625521637499537e-17,1347,3,0.16601081768643527,5.806035302475208e-43,3.453190204687442e-17,ZH8811Bbulk,2528,0.20410322236487313,1.2116278933849578e-42,6.481372384182583e-17
VCAN,6.974525549683878e-05,0.17409519331217171,0.006017333674450783,1.594634265760645e-165,0.07539753787336755,6.76799747102013e-14,1946,3,0.1865305642630411,5.979878496602418e-165,7.809227851177073e-14,ZH8811Bbulk,2528,0.23775686847856287,2.244754389493831e-164,1.4571100437608045e-13
