gene,n_isoforms,pval_ref,pval_local,pval_official_match,stat_local,stat_official,hsic_trace,log10_diff_local,log10_diff_official,abs_diff
HCCS,2,0.7174090209421669,0.7262317159415381,0.7299889315322303,4.6992608919104585e-06,4.6992608919104585e-06,22.972435554583008,0.005308378130699898,0.007549441834918763,0.005308378130699898
ZFX,2,0.2105611415473004,0.17740465140371026,0.17998656375369573,8.410610258711055e-06,8.410610258711055e-06,41.11544487252442,-0.07441322395902239,-0.06813814081859437,0.07441322395902239
MBTPS2,2,0.8720570742585602,0.8337609579859716,0.8366921573129343,2.4991415868074644e-06,2.4991415868074644e-06,12.217106129081612,-0.019503354677303048,-0.01797921133204479,0.019503354677303048
HMGB3,3,0.3270382494057798,0.20689720702599246,0.2109689721146496,8.254238399800647e-06,8.254238399800647e-06,40.35101775643186,-0.19884392138153273,-0.19037996249381028,0.19884392138153273
OFD1,3,0.7414136600820876,0.6613342696344946,0.6664731735446391,1.4664428278046147e-05,1.4664428278046147e-05,71.68736559022243,-0.04963955540832063,-0.04627791021521893,0.04963955540832063
PPP1R3F,2,0.0128371762396409,0.0027170268887110375,0.002793323478156378,2.7880525178325e-06,2.7880525178325e-06,13.62945328252705,-0.6743755672281762,-0.6623482719366283,0.6743755672281762
TRO,2,0.5738594070199543,0.24944549000260138,0.2526506862433692,1.2279817094107612e-06,1.2279817094107612e-06,6.003014374070403,-0.3618298489680559,-0.3562850230345883,0.3618298489680559
TBC1D25,2,0.8384669297427776,0.794167342007127,0.7974590349477038,2.3929922159133967e-06,2.3929922159133967e-06,11.698192700329175,-0.023573914220374692,-0.021777555302127882,0.023573914220374692
CLCN4,2,0.2924153162499288,0.24359153116990065,0.24675220997120223,3.455640445443018e-06,3.455640445443018e-06,16.89297088599755,-0.0793379312218706,-0.0737390655336414,0.0793379312218706
UBE2A,2,0.1815391799529512,0.12985942428272335,0.13193211125513307,9.561481194099505e-06,9.561481194099505e-06,46.74150160846051,-0.1454968961780846,-0.13861985699392332,0.1454968961780846
PIN4,2,0.9033389354617726,0.9133813820318304,0.9153268151811379,4.7418617307959486e-06,4.7418617307959486e-06,23.18069065009234,0.00480142541673341,0.005725456053960215,0.00480142541673341
PGK1,2,0.7634116658982866,0.8360697373735525,0.838977964185911,8.69408730635269e-06,8.69408730635269e-06,42.50122837293856,0.03948371163231598,0.04099176196980785,0.03948371163231598
ATG4A,2,0.0760716122315764,0.06659541871351245,0.06783581241664408,2.2427779408022054e-06,2.2427779408022054e-06,10.963867061948338,-0.05777826676069897,-0.04976359004336328,0.05777826676069897
SRPX2,2,0.4571758846937317,0.42031869248877357,0.4244129603603461,1.6727285562326496e-06,1.6727285562326496e-06,8.177168674442989,-0.03650460952150164,-0.03229467643341477,0.03650460952150164
ARMCX3,2,0.0105166233859626,0.008708885812291518,0.008927081418476947,1.611808246367592e-05,1.611808246367592e-05,78.79358460341147,-0.081913725265091,-0.07116682581660405,0.081913725265091
USP11,2,0.3672169310139482,0.176370453064878,0.17894204367205524,8.360007209730339e-06,8.360007209730339e-06,40.86807080491817,-0.31849686616563444,-0.312210303650308,0.31849686616563444
CDK16,2,0.2233251342098953,0.28378395473321066,0.2872312611165237,1.5301501981213915e-05,1.5301501981213915e-05,74.80171376670583,0.10405023296356031,0.1092941013841614,0.10405023296356031
KLHL4,2,0.5910543485981975,0.3115026604686724,0.31512141894120593,8.544647483697819e-06,8.544647483697819e-06,41.77068866165394,-0.2781656567257439,-0.273149493576728,0.2781656567257439
PBDC1,2,0.011526180767969,0.010925168918083799,0.011191990308663306,2.3020753943428665e-06,2.3020753943428665e-06,11.253743908828385,-0.02325726596523725,-0.012778101026592603,0.02325726596523725
STS,2,0.1253140079980147,0.11898161884770485,0.12092515168347968,4.338048774936132e-06,4.338048774936132e-06,21.206642535299558,-0.022519746944192565,-0.015482979703156707,0.022519746944192565
FMR1,2,0.8389551675932801,0.8514623266790237,0.8542080437503938,5.295392886764105e-06,5.295392886764105e-06,25.88663933019695,0.006426683721108786,0.00782490324071275,0.006426683721108786
ALG13,2,0.385673408988625,0.624902569730764,0.6290626907879054,6.148889427383659e-06,6.148889427383659e-06,30.058975092442992,0.20959261396989537,0.21247423167417134,0.20959261396989537
USP9X,4,0.6836439378843937,0.7928303707426765,0.7971669107477721,2.0230966622919248e-05,2.0230966622919248e-05,98.89950518643982,0.06435031109109808,0.06671929635482578,0.06435031109109808
FAM199X,2,0.2153077562975038,0.17837513843429811,0.18096660863431946,1.1693196583249328e-05,1.1693196583249328e-05,57.16243705434258,-0.08172535206002607,-0.07546122756581841,0.08172535206002607
PLP1,2,9.984442183765913e-08,3.7090534461323197e-10,3.917147322047918e-10,1.455576512213395e-05,1.455576512213395e-05,71.15616347061938,-2.4300607150829823,-2.4063539010207364,2.4300607150829823
GRIA3,2,0.4592818730989292,0.35644580105591994,0.360298285286415,6.218726572046848e-06,6.218726572046848e-06,30.40037544070903,-0.11008580198063883,-0.10541710980059793,0.11008580198063883
RAB9A,3,0.090122608647426,0.021881749710254868,0.02251939859417263,9.371222821860557e-06,9.371222821860557e-06,45.811419560344596,-0.6147517079806466,-0.6022769661089658,0.6147517079806466
GNL3L,2,0.367328095200946,0.5437013218610871,0.5479674474279236,4.806946439281817e-06,4.806946439281817e-06,23.49885861430439,0.17030624211022188,0.17370061277744792,0.17030624211022188
SH3BGRL,2,0.2821811010983072,0.3251971136421824,0.32889258050761666,1.8071203916860855e-05,1.8071203916860855e-05,88.34145984285655,0.061618758471209345,0.06652615254513694,0.061618758471209345
